Year,"OATS - PRODUCTION, MEASURED IN BU","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","CORN, GRAIN - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","COTTON, UPLAND, IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","COTTON, UPLAND, NON-IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","CORN, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","CORN, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS - PRODUCTION, MEASURED IN LB","WHEAT - PRODUCTION, MEASURED IN BU","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS, IRRIGATED - PRODUCTION, MEASURED IN LB"
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
