Year,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","PEANUTS - PRODUCTION, MEASURED IN LB","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","COTTON, UPLAND, IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","COTTON, UPLAND, NON-IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","CORN, GRAIN - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","SUNFLOWER - PRODUCTION, MEASURED IN LB","WHEAT - PRODUCTION, MEASURED IN BU","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB","OATS - PRODUCTION, MEASURED IN BU","PEANUTS, IRRIGATED - PRODUCTION, MEASURED IN LB","SOYBEANS - PRODUCTION, MEASURED IN BU","SOYBEANS, IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS, NON-IRRIGATED - PRODUCTION, MEASURED IN LB"
2012,760350,1217000,323300000,0,322700,128100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,579500,6173000,266830000,1271000,220100,34200,0,0,0,1839000,1100000,0,0,0,0,0,0,0,0,0,0,0
2014,854300,1943000,128200000,0,416700,181600,912000,0,0,377000,576000,0,0,0,0,0,0,0,0,0,0,0
2015,1213500,4017000,0,158000,516800,335400,2188700,63000,95000,391000,425000,0,0,0,0,0,0,0,0,0,0,0
2016,1245800,643000,190000000,72000,524200,420100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1254200,1126000,312600000,773200,616600,370200,2195000,264000,61000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,776300,0,62600000,271500,506100,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,731900,75000,197790000,451900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,303600,0,239310000,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1196300,2429000,323320000,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
